Obj;60
Time;1802.51
Vehicle;Orig;Dest;Dist;Rel;Dead;ServTime;DemDest;ArrTimeDest;ArrBattDest;ArrLoadDest;RecTime;PlugUsed;StartRecharging
1;0;17;33.4689;3.24;12.05;0.52;43;3.24;8.30622;480;0;0;0
1;17;1;2.70066;3.73;12.58;0.56;47;3.81401;7.76609;437;0;0;0
1;1;8;1.92714;1.18;5.02;0.16;20;4.41256;7.38066;390;0;0;0
1;8;4;1.62578;1.62;6.51;0.41;41;4.60507;7.0555;370;0;0;0
1;4;6;2.56003;3.18;11.02;0.17;21;5.06627;6.5435;329;0;0;0
1;6;2;1.79842;10.75;34.72;0.52;47;10.75;6.18381;308;0;0;0
1;2;18;2.04237;6.18;20.77;0.24;27;11.3108;5.77534;261;0;0;0
1;18;10;3.04144;15.4;48.44;0.43;48;15.4;5.16705;234;0;0;0
1;10;13;2.34127;9.46;29.95;0.26;24;15.8768;4.6988;186;0;0;0
1;13;9;0.504169;10.17;33.49;0.28;31;16.1469;4.59796;162;0;0;0
1;9;16;1.36737;5.24;16.97;0.21;26;16.4543;4.32449;131;0;0;0
1;16;5;0.806001;10.76;33.37;0.29;32;16.6804;4.16329;105;0;0;0
1;5;3;2.55973;6.66;22.93;0.51;46;17.0216;3.65134;73;0;0;0
1;3;7;5.78338;13.89;44.5;0.27;27;17.6472;2.49467;27;0;0;0
1;7;41;4.16822;0;0;0;0;18.0006;1.66102;0;5.07043;1;18.0006
1;41;0;33.6573;0;0;0;0;23.7442;1e-09;0;0;0;0
2;0;26;34.1701;4.62;16.67;0.45;45;4.62;8.16599;441;0;0;0
2;26;35;5.55505;3.54;11.8;0.32;27;5.1811;7.05498;396;0;0;0
2;35;40;1.18402;8.37;26.83;0.29;24;8.37;6.81817;369;0;0;0
2;40;33;2.06278;7.4;24.54;0.4;44;8.70126;6.40562;345;0;0;0
2;33;28;4.24462;2.58;9.48;0.38;47;9.18615;5.55669;301;0;0;0
2;28;34;1.95518;3.7;13.88;0.46;42;9.60525;5.16566;254;0;0;0
2;34;42;3.38839;0;0;0;0;10.133;4.48798;212;1.45215;1;10.133
2;42;19;23.3036;12.46;39.86;0.52;47;12.46;1.27942;212;0;0;0
2;19;12;2.3026;4.46;15.51;0.37;46;13.0261;0.818897;212;0;0;0
2;12;20;2.92178;12.07;37.32;0.29;29;13.4545;0.23454;166;0;0;0
2;20;41;1.1727;0;0;0;0;13.7679;1e-09;137;4.22387;1;13.7679
2;41;14;5.996;14.08;44.92;0.26;29;18.1117;3.02467;137;0;0;0
2;14;15;4.23459;10.75;34.71;0.26;32;18.4564;2.17775;137;0;0;0
2;15;11;0.662073;15.09;47.03;0.35;29;18.7297;2.04534;105;0;0;0
2;11;41;10.2267;0;0;0;0;19.2842;9.99999e-10;76;6.73146;1;23.071
2;41;0;33.6573;0;0;0;0;30.4756;1e-09;76;0;0;0
3;0;0;0;0;0;0;0;0;15;0;0;0;0
4;0;38;37.304;2.24;8.25;0.51;46;2.24;7.53919;562;0;0;0
4;38;32;0.922471;3.6;13.05;0.36;33;3.6;7.3547;516;0;0;0
4;32;25;3.64388;1.57;7.66;0.49;41;4.03288;6.62592;483;0;0;0
4;25;23;1.88736;2.04;8.7;0.59;49;4.56062;6.24845;442;0;0;0
4;23;37;2.66343;4.82;16.66;0.53;48;5.20389;5.71577;393;0;0;0
4;37;30;3.8598;1.4;6.63;0.31;39;5.81109;4.94381;345;0;0;0
4;30;36;2.94946;12.29;39.66;0.38;42;12.29;4.35391;306;0;0;0
4;36;21;1.35197;4.64;15.84;0.23;25;12.697;4.08352;264;0;0;0
4;21;31;4.29722;6.33;21.32;0.22;27;13.013;3.22408;239;0;0;0
4;31;39;1.36282;13.45;42.71;0.5;50;13.45;2.95151;212;0;0;0
4;39;27;3.07496;7.69;24.2;0.55;46;14.0115;2.33652;162;0;0;0
4;27;29;1.5682;8.74;27.98;0.32;27;14.5929;2.02288;116;0;0;0
4;29;42;7.74575;0;0;0;0;15.0678;0.473733;89;9.62249;1;15.0678
4;42;22;8.154;14.25;44.83;0.5;42;24.8533;8.46542;89;0;0;0
4;22;24;5.9114;12.49;39.49;0.47;47;25.4716;7.28314;89;0;0;0
4;24;0;36.4157;0;0;0;0;26.6699;1e-09;42;0;0;0
